Active,Curr,Loc,Gcis,Gcis-Sub,Comp_Id,Comp_Name,Cusip,Total_Assets,Debt_Liabilities,Debt_Longterm,Rev_Total,RD_Expense,Shares_Out,Share_End,Net_Income,Fyear
A,USD,VGB,45,45103010,40084,ROADZEN INC,G7606H108,32.579,23.088,0.768,44.296,3.78,74.291,1.04,-72.87,2024
A,USD,CAN,45,45103010,40291,COVEO SOLUTIONS INC,22289D107,230.359,1.999,5.464,133.272,35.904,96.055,3.692,-13.753,2024
A,USD,USA,45,45103010,40292,SAMSARA INC,79589L106,2024.302,15.656,64.622,1249.199,299.716,565.719,51.5,-154.907,2024
A,USD,USA,45,45103010,40413,TERAWULF INC,88080T104,787.511,0.027,491.221,140.051,,385.654,5.66,-72.418,2024
A,USD,CYM,45,45301020,40416,TOYO CO LTD,G8976D107,239.799,18.246,55.327,176.957,,33.596,3.38,40.614,2024
A,USD,USA,45,45301020,40460,PERASO INC,71360T200,7.206,0.139,0.182,14.573,9.232,4.534,1.16,-10.728,2024
A,USD,CYM,45,45301020,40532,CREDO TECH GROUP HOLDING LTD,G25457105,809.257,3.342,12.693,436.775,145.994,171.169,43.05,52.183,2024
A,USD,USA,45,45103010,40534,HEARTCORE ENTERPRISES INC,42240Q203,13.965,1.053,2.897,30.407,0.73,21.938,1.815,-1.481,2024
A,USD,CYM,45,45102010,40693,U-BX TECHNOLOGY LTD,G9161K112,16.794,0.709,0.007,51.6,,27,7.27,-0.749,2024
A,USD,AUS,45,45103010,40702,LOCAFY LTD,Q56120134,4.108,0.267,0.136,2.77,,1.382,2.56,-1.295,2024
A,USD,USA,45,45103010,40757,DATACENTREX INC,256918103,5.102,0,0,0.001,0.245,9.401,3.43,-4,2024
A,USD,ISR,45,45203010,40781,RAIL VISION LTD,M8186D205,20.597,0.305,0.217,1.3,5.279,37.944,2.11,-30.708,2024
A,USD,ISR,45,45202030,40783,WEARABLE DEVICES LTD,M97838300,5.976,1.061,0.021,0.522,2.964,2.83,2.18,-7.879,2024
A,USD,CYM,45,45301020,41103,SEMILUX INTERNATIONAL LTD,G8021C104,9.614,3.518,1.349,3.668,1.069,37.428,1.4709,-3.679,2024
A,USD,USA,45,45202030,41130,FOXX DEVELOPMENT HOLDING INC,351665104,,,,,,,11.39,,2024
A,USD,USA,45,45201020,41227,ACTELIS NETWORKS INC,00503R508,8.225,1.189,0.156,7.76,2.383,7.623,1.34,-4.374,2024
A,USD,CYM,45,45301020,41328,NANO LABS LTD,G6391Y128,84.383,3.461,23.783,5.562,6.87,15.674,8.9515,-15.507,2024
A,USD,USA,45,45203015,41420,M-TRON INDUSTRIES INC,55380K109,36.488,0.009,0,49.012,2.809,2.911,48.43,7.636,2024
A,USD,VGB,45,45102010,41427,REPUBLIC POWER GROUP LTD,G7523E113,6.388,1.248,0.033,0.506,0.086,16,,-1.043,2024
A,USD,USA,45,45301010,41441,AELUMA INC,00776X109,3.844,0.129,0.941,0.919,2.507,12.178,3.5875,-4.562,2024
A,USD,ISR,45,45103010,41498,BEAMR IMAGING LTD,M1R79L104,22.095,0.25,0,3.064,2.893,15.519,4.92,-3.353,2024
